C,gamma,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Avg Accuracy,stdev
1,0.1,86.83035714,86.38392857,87.27678571,85.9375,85.9375,86.83035714,86.83035714,86.60714286,87.5,86.83035714,86.60714286,87.94642857,86.83035714,86.83035714,87.05357143,87.72321429,87.5,86.60714286,86.60714286,87.27678571,87.05357143,87.05357143,86.60714286,87.5,86.60714286,86.38392857,87.5,86.16071429,87.27678571,87.05357143,86.38392857,87.27678571,87.05357143,86.60714286,87.27678571,87.05357143,87.5,86.60714286,87.27678571,87.27678571,87.05357143,87.5,87.05357143,87.72321429,87.27678571,87.27678571,87.27678571,87.5,87.05357143,87.5,87.01339286,0.456986132
1,1,86.83035714,87.72321429,86.83035714,87.27678571,87.5,87.05357143,87.27678571,87.5,88.16964286,86.60714286,87.94642857,86.16071429,87.5,87.72321429,87.27678571,87.5,88.16964286,87.5,86.83035714,87.5,87.5,87.05357143,88.16964286,87.72321429,86.60714286,88.16964286,85.9375,87.05357143,87.05357143,88.39285714,86.38392857,86.83035714,86.83035714,87.94642857,86.83035714,86.60714286,87.72321429,87.5,87.94642857,86.60714286,87.72321429,87.72321429,87.5,86.60714286,88.39285714,87.5,86.83035714,88.16964286,86.83035714,87.5,87.33035714,0.594105762
1,10,70.08928571,70.08928571,69.19642857,68.97321429,69.64285714,70.3125,70.53571429,70.3125,69.86607143,68.97321429,70.53571429,68.97321429,69.41964286,69.41964286,70.08928571,68.75,69.86607143,69.19642857,69.64285714,69.64285714,69.41964286,70.08928571,69.64285714,67.41071429,70.08928571,68.52678571,69.41964286,69.64285714,69.64285714,69.86607143,70.08928571,69.64285714,70.53571429,70.08928571,70.08928571,69.19642857,70.08928571,69.64285714,70.53571429,68.97321429,70.08928571,70.08928571,70.75892857,68.97321429,70.75892857,69.41964286,69.86607143,68.52678571,69.86607143,69.19642857,69.67410714,0.647266447
1,50,45.3125,45.75892857,44.64285714,44.41964286,45.08928571,45.53571429,45.08928571,45.3125,45.98214286,44.86607143,45.08928571,45.3125,45.3125,45.98214286,46.20535714,45.98214286,45.3125,45.75892857,45.53571429,45.08928571,45.3125,45.75892857,45.75892857,45.53571429,45.3125,45.53571429,45.3125,44.64285714,45.08928571,45.08928571,45.08928571,45.3125,45.53571429,45.53571429,45.53571429,45.53571429,44.86607143,45.75892857,45.3125,46.20535714,46.20535714,45.08928571,45.53571429,45.98214286,45.75892857,45.53571429,44.86607143,45.08928571,45.75892857,45.53571429,45.41964286,0.411438549
1,100,43.30357143,43.30357143,43.30357143,43.30357143,43.30357143,43.30357143,43.30357143,43.30357143,42.85714286,43.30357143,43.30357143,42.85714286,43.30357143,43.30357143,43.30357143,43.30357143,42.85714286,42.85714286,43.30357143,43.30357143,43.30357143,42.85714286,43.30357143,43.30357143,43.30357143,43.30357143,43.30357143,43.30357143,43.30357143,42.85714286,43.30357143,42.85714286,43.30357143,43.30357143,42.85714286,42.85714286,42.85714286,42.41071429,43.30357143,43.30357143,43.30357143,43.30357143,42.85714286,42.85714286,43.30357143,43.30357143,43.30357143,43.30357143,42.85714286,43.30357143,43.16964286,0.225480479
1,500,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,1.44E-14
1,1000,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,1.44E-14
5,0.001,78.125,79.01785714,77.90178571,78.125,77.67857143,79.01785714,79.01785714,78.125,78.34821429,79.46428571,79.24107143,78.34821429,78.34821429,78.79464286,79.01785714,78.57142857,78.34821429,77.45535714,77.00892857,78.34821429,79.46428571,78.125,78.125,78.34821429,79.24107143,77.90178571,77.90178571,77.90178571,79.24107143,79.6875,77.90178571,78.57142857,78.34821429,78.79464286,77.67857143,77.90178571,79.24107143,79.01785714,78.57142857,77.90178571,78.57142857,78.57142857,78.57142857,79.01785714,79.01785714,78.34821429,79.01785714,78.79464286,78.34821429,77.90178571,78.48660714,0.577318097
5,0.01,87.05357143,86.38392857,86.16071429,86.16071429,86.38392857,86.38392857,87.05357143,86.38392857,86.38392857,86.16071429,86.83035714,86.38392857,86.83035714,87.27678571,86.16071429,87.27678571,86.38392857,87.05357143,86.38392857,87.05357143,86.16071429,86.83035714,86.83035714,85.9375,86.83035714,87.27678571,86.60714286,85.49107143,86.38392857,86.83035714,86.83035714,87.05357143,86.83035714,85.9375,86.60714286,85.71428571,86.38392857,86.60714286,86.83035714,86.16071429,85.9375,87.05357143,85.9375,86.38392857,86.60714286,86.38392857,86.60714286,86.83035714,86.83035714,86.38392857,86.54464286,0.418301233
5,0.1,88.16964286,89.73214286,88.39285714,88.16964286,88.61607143,89.0625,89.28571429,89.28571429,88.39285714,88.83928571,87.72321429,87.72321429,88.39285714,89.0625,88.61607143,89.0625,88.39285714,89.0625,88.16964286,87.94642857,88.61607143,89.0625,88.39285714,87.5,88.39285714,89.50892857,88.61607143,87.72321429,88.16964286,88.83928571,89.73214286,89.50892857,88.83928571,88.61607143,88.16964286,87.5,88.83928571,88.39285714,88.61607143,87.94642857,87.94642857,87.72321429,88.61607143,87.72321429,88.61607143,87.72321429,88.61607143,88.61607143,89.28571429,89.28571429,88.54464286,0.585277138
5,1,84.82142857,86.83035714,86.83035714,87.27678571,86.83035714,86.60714286,86.16071429,87.94642857,88.61607143,88.39285714,86.83035714,85.9375,87.94642857,87.72321429,87.5,87.72321429,87.94642857,86.16071429,86.60714286,86.83035714,87.94642857,87.5,85.04464286,89.0625,87.05357143,88.83928571,86.38392857,85.71428571,87.5,88.61607143,86.83035714,86.16071429,88.16964286,86.16071429,86.83035714,87.72321429,88.16964286,86.83035714,86.60714286,87.5,87.05357143,87.05357143,86.16071429,86.38392857,87.72321429,87.27678571,87.27678571,86.16071429,87.27678571,85.26785714,87.07589286,0.950501184
5,10,71.65178571,70.53571429,71.20535714,71.20535714,71.20535714,70.98214286,72.99107143,71.65178571,71.20535714,70.53571429,71.65178571,69.86607143,70.53571429,71.20535714,70.75892857,70.98214286,70.98214286,70.08928571,71.42857143,71.42857143,70.08928571,70.53571429,71.20535714,71.20535714,70.75892857,71.20535714,71.42857143,70.08928571,70.08928571,71.875,71.875,71.875,72.54464286,70.53571429,71.875,69.64285714,70.98214286,70.53571429,70.75892857,69.86607143,70.75892857,71.42857143,71.20535714,71.65178571,71.42857143,71.65178571,70.75892857,70.53571429,70.08928571,70.53571429,71.02232143,0.690853936
5,50,46.20535714,45.75892857,44.86607143,46.20535714,46.20535714,46.42857143,45.3125,45.75892857,45.98214286,46.875,45.53571429,46.20535714,46.42857143,47.09821429,45.3125,45.53571429,45.08928571,46.875,45.53571429,45.75892857,45.98214286,46.42857143,45.53571429,45.98214286,45.75892857,46.875,46.20535714,45.08928571,46.65178571,46.875,45.53571429,45.08928571,45.53571429,46.42857143,45.3125,45.3125,46.20535714,46.20535714,45.53571429,46.20535714,46.42857143,46.65178571,45.53571429,45.3125,46.20535714,46.875,46.65178571,46.20535714,46.65178571,45.98214286,46.00446429,0.574422307
5,100,43.30357143,43.30357143,43.30357143,42.85714286,43.30357143,43.30357143,43.30357143,43.30357143,42.85714286,43.30357143,43.30357143,43.30357143,43.30357143,43.30357143,43.30357143,43.30357143,42.85714286,43.30357143,42.85714286,42.85714286,43.30357143,43.30357143,42.85714286,43.30357143,43.30357143,43.30357143,43.30357143,42.85714286,43.30357143,42.85714286,42.85714286,43.30357143,43.30357143,43.30357143,43.30357143,42.41071429,43.30357143,42.85714286,43.30357143,42.85714286,43.30357143,43.30357143,43.30357143,42.85714286,42.85714286,42.85714286,43.30357143,43.30357143,43.30357143,42.85714286,43.15178571,0.231883405
5,500,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,1.44E-14
5,1000,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,42.41071429,1.44E-14
10,0.001,81.91964286,82.14285714,82.36607143,82.36607143,82.14285714,82.14285714,82.14285714,81.47321429,82.36607143,82.14285714,82.36607143,82.36607143,82.8125,83.25892857,82.58928571,82.14285714,82.36607143,82.36607143,82.36607143,81.69642857,82.36607143,82.36607143,82.14285714,82.14285714,82.14285714,82.14285714,82.14285714,82.8125,81.47321429,81.69642857,82.36607143,81.91964286,82.8125,82.14285714,82.36607143,81.69642857,82.58928571,82.36607143,82.14285714,82.58928571,82.58928571,81.47321429,82.14285714,81.47321429,82.14285714,82.14285714,81.69642857,82.14285714,81.69642857,82.14285714,82.19196429,0.372664051
10,0.01,87.27678571,88.39285714,87.94642857,88.16964286,87.05357143,87.5,89.28571429,87.27678571,88.61607143,87.05357143,87.27678571,87.72321429,87.72321429,88.16964286,87.27678571,87.72321429,87.05357143,87.72321429,87.5,87.94642857,87.27678571,88.61607143,87.5,87.27678571,87.05357143,87.5,87.72321429,87.72321429,87.5,87.94642857,88.16964286,87.94642857,88.16964286,87.5,87.27678571,87.05357143,87.5,87.72321429,87.94642857,87.27678571,87.72321429,87.72321429,87.94642857,88.16964286,87.5,87.5,87.72321429,88.16964286,87.5,87.72321429,87.70089286,0.45823048
10,0.1,88.83928571,89.28571429,88.61607143,89.73214286,90.17857143,89.28571429,89.28571429,89.0625,89.73214286,87.94642857,88.83928571,89.0625,89.50892857,90.17857143,89.73214286,89.95535714,89.28571429,87.94642857,89.28571429,90.17857143,89.0625,89.0625,88.83928571,90.17857143,89.28571429,89.28571429,89.73214286,88.61607143,89.28571429,88.39285714,88.83928571,89.0625,89.28571429,88.83928571,89.50892857,89.28571429,87.94642857,89.0625,88.83928571,89.50892857,90.17857143,89.28571429,89.95535714,88.83928571,89.0625,88.39285714,88.39285714,89.95535714,88.39285714,89.50892857,89.19642857,0.591429751
10,1,85.9375,86.16071429,86.38392857,86.16071429,85.71428571,88.16964286,86.16071429,86.16071429,86.38392857,85.04464286,86.16071429,84.59821429,85.49107143,87.27678571,85.49107143,85.26785714,85.9375,85.71428571,85.49107143,85.9375,85.9375,85.71428571,86.16071429,85.9375,85.04464286,86.38392857,85.49107143,85.71428571,86.60714286,86.60714286,84.82142857,85.9375,85.04464286,86.38392857,86.16071429,84.82142857,85.49107143,86.60714286,85.9375,86.38392857,87.27678571,85.49107143,85.49107143,86.38392857,84.15178571,86.38392857,85.71428571,86.38392857,85.49107143,86.83035714,85.92857143,0.711547229
10,10,69.64285714,71.65178571,70.75892857,71.20535714,70.75892857,71.65178571,70.75892857,70.53571429,69.64285714,69.41964286,71.20535714,70.75892857,71.875,71.42857143,70.98214286,69.41964286,70.3125,70.3125,71.875,71.20535714,71.875,72.32142857,70.98214286,72.09821429,70.3125,71.42857143,71.875,71.65178571,69.86607143,71.20535714,69.86607143,70.98214286,70.3125,71.42857143,71.65178571,72.09821429,70.53571429,70.3125,70.98214286,72.54464286,71.20535714,71.42857143,71.65178571,71.20535714,70.53571429,70.53571429,70.98214286,72.54464286,71.875,71.20535714,71.05803571,0.78835663
10,50,45.53571429,45.53571429,45.98214286,45.75892857,46.20535714,45.75892857,45.3125,46.65178571,46.65178571,46.875,47.09821429,45.75892857,45.3125,45.75892857,45.53571429,45.75892857,46.20535714,45.98214286,46.65178571,45.53571429,44.86607143,45.75892857,46.42857143,45.98214286,46.65178571,45.98214286,45.75892857,45.53571429,46.20535714,45.53571429,45.98214286,45.53571429,45.53571429,45.53571429,46.42857143,46.42857143,46.20535714,46.20535714,45.3125,45.98214286,45.3125,45.98214286,46.20535714,46.65178571,44.41964286,45.3125,45.53571429,45.98214286,46.42857143,45.53571429,45.90178571,0.52544209
